x : 7.125660  y : -0.239924  deg : 164.405420
x : 7.851522  y : 0.036942  deg : -0.221869
x : 7.852342  y : 0.038084  deg : -0.462655
x : 7.992535  y : 0.017321  deg : -0.183815
x : 7.872906  y : 0.084924  deg : -0.250943
x : 7.992949  y : 0.016372  deg : -0.451065
x : 7.874114  y : 0.088810  deg : 0.297639
x : 7.992375  y : 0.017893  deg : -0.170065
x : 7.852754  y : 0.037310  deg : -0.468828
x : 7.850785  y : 0.037122  deg : -0.220491
x : 7.853565  y : 0.038443  deg : -0.459659
x : -nan  y : -nan  deg : -nan
x : 7.852928  y : 0.036600  deg : -0.224498
x : 7.921181  y : 0.131572  deg : 1.423781
x : -nan  y : -nan  deg : -nan
x : 7.852022  y : 0.038165  deg : -0.462033
x : 7.851719  y : 0.038242  deg : -0.461444
x : 7.992926  y : 0.015866  deg : -0.468808
x : 7.851445  y : 0.036961  deg : -0.221724
x : 7.851872  y : 0.036186  deg : -0.477873
x : 7.993924  y : 0.017509  deg : -0.112822
x : 7.992113  y : 0.017662  deg : -0.187107
x : -nan  y : -nan  deg : -nan
x : 7.853025  y : 0.038582  deg : -0.458589
x : 7.851505  y : 0.036274  deg : 0.022801
x : 7.851365  y : 0.038331  deg : -0.210757
x : 7.852032  y : 0.037490  deg : -0.217451
x : 7.852298  y : 0.037424  deg : -0.217958
x : 7.851610  y : 0.036921  deg : -0.222033
x : 7.850575  y : 0.037851  deg : -0.464675
x : 7.850834  y : 0.037787  deg : -0.215167
x : 7.851477  y : 0.037627  deg : -0.466393
x : 7.851296  y : 0.036997  deg : -0.721446
x : 7.992843  y : 0.017215  deg : 0.074133
x : 7.851973  y : 0.036162  deg : 0.021941
x : 7.851937  y : 0.037513  deg : -0.217271
x : 7.872002  y : 0.084735  deg : -0.004730
x : -nan  y : -nan  deg : -nan
x : 7.992550  y : 0.017698  deg : -0.420280
x : 7.851498  y : 0.036948  deg : -0.221823
x : 7.851233  y : 0.037688  deg : -0.715928
x : 7.852911  y : 0.037941  deg : -0.463759
x : 7.850912  y : 0.038445  deg : -0.459877
x : 7.851733  y : 0.036891  deg : -0.472263
x : 7.992529  y : 0.017334  deg : -0.183588
x : -nan  y : -nan  deg : -nan
x : 7.852027  y : 0.038164  deg : -0.462043
x : 7.851852  y : 0.037534  deg : -0.717108
x : 7.992753  y : 0.017429  deg : -0.421855
x : 7.852060  y : 0.038830  deg : -0.456680
x : 7.852152  y : 0.038132  deg : -0.462285
x : 7.852209  y : 0.036775  deg : -0.473154
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 7.852587  y : 0.038022  deg : -0.463130
x : 7.854085  y : 0.036980  deg : -0.471364
x : 7.872600  y : 0.085900  deg : -0.490053
x : -nan  y : -nan  deg : -nan
x : 7.850015  y : 0.036630  deg : -0.224467
x : 7.852035  y : 0.036817  deg : -0.222828
x : 7.850569  y : 0.037175  deg : -0.470086
x : 7.852429  y : 0.038735  deg : -0.707410
x : 7.850591  y : 0.037847  deg : -0.464704
x : 7.852314  y : 0.041471  deg : -1.435218
x : 7.851005  y : 0.037745  deg : -0.215493
x : 7.992946  y : 0.016574  deg : -0.194299
x : 7.997631  y : 0.017877  deg : 0.299279
x : 7.923419  y : 0.131495  deg : 0.965905
x : 7.852419  y : 0.040764  deg : -1.690974
x : -nan  y : -nan  deg : -nan
x : 7.993158  y : 0.016668  deg : -0.682789
x : 7.850001  y : 0.039359  deg : -0.952607
x : 7.874904  y : 0.089058  deg : 0.052301
x : 7.851837  y : 0.039564  deg : -1.200775
x : 7.850966  y : 0.037754  deg : -0.215419
x : 7.850711  y : 0.037817  deg : -0.464933
x : -nan  y : -nan  deg : -nan
x : 7.922728  y : 0.131441  deg : 1.200454
x : 7.853527  y : 0.037119  deg : -0.220300
x : 7.850526  y : 0.037863  deg : -0.214580
x : 7.992813  y : 0.017494  deg : -0.667137
x : 7.851379  y : 0.038327  deg : -0.460785
x : 7.852092  y : 0.036133  deg : -0.228277
x : 7.852678  y : 0.035327  deg : 0.015355
x : 7.851188  y : 0.037024  deg : -0.221243
x : 7.993990  y : 0.018306  deg : -0.323868
x : 7.851581  y : 0.036256  deg : -0.227339
x : 7.852837  y : 0.039302  deg : -0.702790
x : 7.851418  y : 0.036968  deg : -0.221674
x : 7.922984  y : 0.131037  deg : 1.194508
x : 7.850887  y : 0.036422  deg : -0.226067
x : 7.852466  y : 0.038726  deg : -0.457483
x : 7.923014  y : 0.132140  deg : 0.975447
x : 7.851196  y : 0.038374  deg : -0.210428
x : 7.992674  y : 0.017204  deg : -0.182728
x : -nan  y : -nan  deg : -nan
x : 7.851152  y : 0.037032  deg : -0.221178
x : 7.873576  y : 0.089179  deg : 0.300998
x : 7.993042  y : 0.017364  deg : -0.162403
x : 7.992582  y : 0.017416  deg : -0.678834
x : 7.850906  y : 0.037092  deg : -0.220716
x : 7.849915  y : 0.037334  deg : -0.218864
x : 7.850433  y : 0.037208  deg : -0.219831
x : 7.849007  y : 0.036189  deg : -0.228045
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 7.851615  y : 0.036920  deg : -0.472043
x : 7.850871  y : 0.039135  deg : -0.204328
x : 7.852047  y : 0.038159  deg : -0.462080
x : 7.851416  y : 0.037642  deg : -0.466277
x : 7.920661  y : 0.132379  deg : 1.435470
x : 7.992530  y : 0.017744  deg : -0.419411
x : 7.852236  y : 0.037439  deg : -0.467841
x : 7.853217  y : 0.039875  deg : -0.448114
x : 7.850553  y : 0.037856  deg : -0.464633
x : 7.850598  y : 0.038525  deg : -0.459267
x : 7.850650  y : 0.036478  deg : -0.225632
x : 7.850789  y : 0.038476  deg : -0.209639
x : 7.850106  y : 0.037287  deg : -0.469221
x : 7.850103  y : 0.036609  deg : 0.025371
x : 7.910086  y : 0.124515  deg : 0.833598
x : 7.922863  y : 0.131228  deg : 1.197320
x : 7.852752  y : 0.038652  deg : -0.458050
x : 7.992391  y : 0.017445  deg : -0.434752
x : 7.909935  y : 0.123676  deg : 1.063478
x : 7.850911  y : 0.036416  deg : -0.226109
x : 7.910329  y : 0.123164  deg : 0.806999
x : 7.992260  y : 0.017337  deg : -0.442832
x : 7.992097  y : 0.017697  deg : -0.436488
x : 7.851796  y : 0.036204  deg : -0.227733
x : 7.852020  y : 0.036821  deg : -0.222800
x : 7.849960  y : 0.038004  deg : -0.213501
x : 7.850859  y : 0.038459  deg : -0.709773
x : 7.876190  y : 0.088169  deg : 0.044177
x : 7.992035  y : 0.017632  deg : -0.440648
x : 7.851004  y : 0.038422  deg : -0.710055
x : 7.852815  y : 0.038636  deg : -0.458174
x : 7.992105  y : 0.017679  deg : -0.436796
x : 7.992293  y : 0.017668  deg : -0.430747
x : 7.877149  y : 0.088285  deg : -0.202344
x : 7.850957  y : 0.037756  deg : -0.465402
x : 7.922925  y : 0.131130  deg : 1.195879
x : 7.851569  y : 0.036931  deg : -0.471957
x : 7.992334  y : 0.017778  deg : -0.925504
x : 7.922984  y : 0.129898  deg : 1.413528
x : 7.850511  y : 0.037867  deg : 0.035448
x : 7.851266  y : 0.037680  deg : -0.465992
x : 7.993720  y : 0.018332  deg : -0.089618
x : 7.853663  y : 0.039756  deg : -0.699030
x : 7.874978  y : 0.089007  deg : 0.051838
x : 7.994040  y : 0.017906  deg : -0.088567
x : -nan  y : -nan  deg : -nan
x : 7.851919  y : 0.038191  deg : -0.461834
x : 7.922448  y : 0.130739  deg : 1.175797
x : -nan  y : -nan  deg : -nan
x : 7.851828  y : 0.036197  deg : -0.227792
x : 7.852053  y : 0.038157  deg : -0.462093
x : 7.852345  y : 0.037412  deg : -0.218048
x : 7.852430  y : 0.037391  deg : -0.468210
x : 7.850960  y : 0.037079  deg : -0.470818
x : 7.994004  y : 0.018264  deg : -0.324835
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 7.852922  y : 0.039280  deg : -0.702962
x : 7.850402  y : 0.038574  deg : -0.458887
x : 7.922716  y : 0.131460  deg : 1.200729
x : 7.992679  y : 0.017815  deg : -0.161058
x : 7.850458  y : 0.037202  deg : -0.219879
x : 7.991605  y : 0.017565  deg : -0.705964
x : 7.851732  y : 0.037564  deg : -0.216879
x : 7.850843  y : 0.037108  deg : -0.470599
x : 7.992707  y : 0.017330  deg : -0.177100
x : 7.851184  y : 0.038377  deg : -0.460406
x : 7.993887  y : 0.018353  deg : -0.078371
x : 7.850919  y : 0.038444  deg : -0.459890
x : 7.850490  y : 0.037194  deg : -0.219939
x : 7.874143  y : 0.089584  deg : 0.057110
x : 7.850682  y : 0.037147  deg : -0.220298
x : 7.852301  y : 0.037423  deg : -0.217963
x : 7.873174  y : 0.088660  deg : 0.543900
x : 7.994008  y : 0.017999  deg : -0.086433
x : 7.922884  y : 0.131195  deg : 1.196842
x : 7.874694  y : 0.088413  deg : 0.294018
x : 7.852836  y : 0.037290  deg : -0.468984
x : -nan  y : -nan  deg : -nan
x : 7.851459  y : 0.036958  deg : -0.221751
x : 7.994128  y : 0.016484  deg : -0.144287
x : 7.922572  y : 0.131688  deg : 1.204084
x : 7.992020  y : 0.017468  deg : -0.446456
x : 7.866949  y : 0.035604  deg : 0.018761
x : 7.931094  y : 0.119186  deg : 1.033652
x : 7.879412  y : 0.066020  deg : -0.200062
x : 7.867831  y : 0.037197  deg : -0.218222
x : 7.869248  y : 0.037409  deg : -0.216303
x : 7.870066  y : 0.035980  deg : 0.022146
x : 7.870658  y : 0.037613  deg : -0.464446
x : 7.869967  y : 0.038414  deg : -0.457961
x : 7.869427  y : 0.037359  deg : -0.716692
x : 7.868835  y : 0.038742  deg : -0.955423
x : 7.931717  y : 0.118180  deg : 1.018735
x : 7.869802  y : 0.038462  deg : -0.457591
x : 7.869445  y : 0.036751  deg : -0.221656
x : 7.880602  y : 0.064726  deg : 0.037780
x : 7.869076  y : 0.036852  deg : -0.220873
x : 7.999543  y : 0.005270  deg : -0.041867
x : 7.999548  y : 0.005438  deg : -0.253134
x : 7.869774  y : 0.037262  deg : -0.467442
x : 7.869570  y : 0.037319  deg : -0.467001
x : 7.870897  y : 0.038144  deg : -0.210046
x : 7.880082  y : 0.065002  deg : -0.209892
x : 7.903720  y : 0.097078  deg : 0.513599
x : 7.999543  y : 0.005266  deg : -0.042202
x : 7.999546  y : 0.005240  deg : -0.044371
x : 7.869028  y : 0.038686  deg : -0.455857
x : -nan  y : -nan  deg : -nan
x : 7.999556  y : 0.005353  deg : -0.260469
x : 7.870166  y : 0.037753  deg : -0.463362
x : 7.999563  y : 0.005278  deg : -0.266938
x : 7.869258  y : 0.036802  deg : -0.471260
x : 7.869053  y : 0.036859  deg : -0.470822
x : 7.889763  y : 0.079456  deg : -0.033153
x : -nan  y : -nan  deg : -nan
x : 7.869748  y : 0.038477  deg : -0.457469
x : 7.932091  y : 0.117575  deg : 1.009772
x : 7.869451  y : 0.039171  deg : -0.451790
x : 7.999608  y : 0.005001  deg : -0.265487
x : 7.871133  y : 0.036880  deg : -0.470386
x : 7.870875  y : 0.038752  deg : -0.455035
x : 7.869219  y : 0.037417  deg : -0.466242
x : 7.869287  y : 0.038004  deg : -0.711427
x : 7.869354  y : 0.037380  deg : -0.216533
x : 7.879828  y : 0.065136  deg : 0.041240
x : 7.879948  y : 0.065733  deg : -0.202488
x : 7.869081  y : 0.037456  deg : -0.215942
x : 7.881352  y : 0.065638  deg : 0.047960
x : 7.999607  y : 0.005013  deg : -0.264427
x : 7.870271  y : 0.038326  deg : -0.458642
x : 7.869638  y : 0.037904  deg : -0.212201
x : 7.869840  y : 0.036641  deg : -0.222498
x : -nan  y : -nan  deg : -nan
x : 7.867621  y : 0.038479  deg : -0.207757
x : 7.870042  y : 0.038392  deg : -0.458129
x : 7.881334  y : 0.064338  deg : 0.034511
x : 7.868572  y : 0.036992  deg : -0.219800
x : 7.869385  y : 0.037371  deg : -0.466601
x : 7.999627  y : 0.004562  deg : -0.079590
x : 7.868748  y : 0.036338  deg : -0.225097
x : 7.999522  y : 0.005724  deg : -0.228408
x : 7.870045  y : 0.036585  deg : -0.472934
x : 7.867876  y : 0.037184  deg : -0.218319
x : 7.870525  y : 0.041281  deg : -1.934042
x : 7.868526  y : 0.036398  deg : 0.025366
x : 7.868890  y : 0.037510  deg : -0.215529
x : 7.869917  y : 0.039034  deg : -0.452854
x : -nan  y : -nan  deg : -nan
x : 7.932285  y : 0.117261  deg : 1.005124
x : 7.870583  y : 0.038235  deg : -0.459342
x : 7.999529  y : 0.005412  deg : -0.030136
x : 7.868884  y : 0.038119  deg : -0.710539
x : 7.868362  y : 0.035837  deg : -0.229202
x : 7.869597  y : 0.036107  deg : -0.476872
x : 7.869519  y : 0.037938  deg : -0.211938
x : 7.869003  y : 0.037478  deg : -0.465773
x : 7.871132  y : 0.038076  deg : -0.210571
x : 7.869915  y : 0.036021  deg : -0.227537
x : 7.870515  y : 0.036455  deg : -0.223933
x : 7.999552  y : 0.005174  deg : -0.049829
x : 7.868476  y : 0.038235  deg : -0.459642
x : -nan  y : -nan  deg : -nan
x : 7.879607  y : 0.065253  deg : 0.042229
x : 7.869361  y : 0.035570  deg : -0.231254
x : 7.868655  y : 0.037576  deg : -0.215021
x : 7.869771  y : 0.036661  deg : -0.222350
x : -nan  y : -nan  deg : -nan
x : 7.880890  y : 0.065229  deg : -0.206750
x : 7.999520  y : 0.005748  deg : -0.226267
x : 7.870286  y : 0.038925  deg : -0.703694
x : 7.868832  y : 0.036920  deg : -0.470352
x : 7.880086  y : 0.064999  deg : 0.040086
x : 7.999549  y : 0.005436  deg : -0.253286
x : 7.871962  y : 0.038432  deg : -0.457512
x : 7.869856  y : 0.036637  deg : -0.722532
x : 7.882080  y : 0.063942  deg : 0.031172
x : 7.870052  y : 0.037184  deg : -0.218044
x : 7.880703  y : 0.064672  deg : 0.037329
x : 7.869610  y : 0.037308  deg : -0.467087
x : 7.880582  y : 0.063430  deg : 0.024517
x : 7.999551  y : 0.005410  deg : -0.255516
x : 7.868880  y : 0.036907  deg : -0.220454
x : 7.880946  y : 0.065858  deg : -0.450179
x : 7.882076  y : 0.063945  deg : 0.031193
x : 7.999501  y : 0.005712  deg : -0.255332
x : 7.869668  y : 0.036088  deg : -0.227022
x : 7.869632  y : 0.037301  deg : -0.217135
x : 7.869910  y : 0.036022  deg : 0.022473
x : 7.868786  y : 0.036933  deg : -0.470255
x : 7.868733  y : 0.038162  deg : -0.460207
x : 7.870102  y : 0.037771  deg : -0.463222
x : 7.881272  y : 0.064371  deg : 0.034788
x : 7.869418  y : 0.037967  deg : -0.211715
x : 7.869975  y : 0.037808  deg : -0.462942
x : -nan  y : -nan  deg : -nan
x : 7.868716  y : 0.038167  deg : -0.210169
x : 7.869705  y : 0.039704  deg : -0.447335
x : 7.999518  y : 0.005768  deg : -0.224610
x : 7.870117  y : 0.037767  deg : -0.463256
x : 7.999540  y : 0.005305  deg : -0.038985
x : 7.869165  y : 0.038039  deg : -0.461160
x : 7.930787  y : 0.118625  deg : 1.261993
x : 7.869695  y : 0.038493  deg : -0.457351
x : 7.868389  y : 0.037042  deg : -0.219410
x : 7.869154  y : 0.038042  deg : -0.461134
x : 7.869279  y : 0.036796  deg : -0.471303
x : 7.870132  y : 0.037763  deg : -0.463289
x : 7.869412  y : 0.039182  deg : -0.451703
x : 7.868654  y : 0.036363  deg : -0.224902
x : 7.869431  y : 0.037358  deg : -0.466701
x : 7.869209  y : 0.038634  deg : -0.206261
x : 7.880302  y : 0.064229  deg : 0.032398
x : 7.932291  y : 0.117252  deg : 1.004989
x : -nan  y : -nan  deg : -nan
x : 7.869711  y : 0.037883  deg : -0.462360
x : 7.880897  y : 0.064569  deg : 0.036462
x : 7.869578  y : 0.037317  deg : -0.467018
x : 7.902691  y : 0.098079  deg : 0.524145
x : 7.999545  y : 0.005249  deg : -0.043628
x : 7.868958  y : 0.038098  deg : -0.210703
x : 7.999553  y : 0.005385  deg : -0.257728
x : 7.870966  y : 0.038725  deg : -0.455243
x : 7.999547  y : 0.005454  deg : -0.251726
x : 7.869028  y : 0.037471  deg : -0.465827
x : 7.881265  y : 0.064374  deg : 0.034817
x : 7.870548  y : 0.037644  deg : -0.214205
x : 7.869166  y : 0.038646  deg : -0.456167
x : 7.999537  y : 0.005565  deg : -0.242142
x : 7.999475  y : 0.005985  deg : -0.232933
x : 7.870076  y : 0.038382  deg : -0.458205
x : 7.881466  y : 0.064921  deg : -0.209354
x : 7.869354  y : 0.039200  deg : -0.451570
x : 7.999454  y : 0.005951  deg : -0.010108
x : 7.880477  y : 0.064792  deg : 0.038339
x : 7.869133  y : 0.038048  deg : -0.461089
x : 7.869528  y : 0.036126  deg : -0.226730
x : 7.870282  y : 0.037720  deg : -0.213620
x : 7.869164  y : 0.037433  deg : -0.466122
x : 7.999511  y : 0.005610  deg : -0.013725
x : 7.999602  y : 0.005070  deg : -0.509218
x : 7.881173  y : 0.065078  deg : -0.208029
x : 7.869766  y : 0.038472  deg : -0.207510
x : 7.869243  y : 0.038017  deg : -0.461329
x : 7.881194  y : 0.063761  deg : 0.028463
x : 7.881440  y : 0.062984  deg : 0.020779
x : 7.999435  y : 0.005902  deg : 0.213923
x : 7.870164  y : 0.037754  deg : -0.213359
x : 7.890059  y : 0.079249  deg : -0.035049
x : 7.869691  y : 0.036082  deg : -0.227070
x : 7.869535  y : 0.039146  deg : -0.451983
x : 7.869164  y : 0.036225  deg : -0.225968
x : 7.869557  y : 0.036118  deg : -0.476790
x : 7.869437  y : 0.038567  deg : -0.456774
x : -nan  y : -nan  deg : -nan
x : 7.999587  y : 0.005239  deg : -0.243729
x : 7.889375  y : 0.079728  deg : -0.030663
x : 7.869793  y : 0.038464  deg : -0.207570
x : 7.870213  y : 0.037138  deg : -0.468393
x : 7.999547  y : 0.005450  deg : -0.252095
x : 7.999476  y : 0.006218  deg : -0.435986
x : 7.869095  y : 0.038059  deg : -0.461004
x : 7.870311  y : 0.035316  deg : -0.233205
x : 7.868298  y : 0.037067  deg : -0.469217
x : 7.880410  y : 0.064172  deg : 0.031920
x : 7.868569  y : 0.037600  deg : -0.464834
x : 7.880880  y : 0.064578  deg : -0.213462
x : 7.869497  y : 0.037340  deg : -0.466842
x : -nan  y : -nan  deg : -nan
x : 7.889240  y : 0.079116  deg : 0.211567
x : -nan  y : -nan  deg : -nan
x : 7.869958  y : 0.037210  deg : -0.467840
x : 7.999534  y : 0.005595  deg : -0.239475
x : 7.868312  y : 0.037064  deg : -0.219245
x : 7.869416  y : 0.038573  deg : -0.456727
x : 7.882547  y : 0.064342  deg : -0.214247
x : 7.999560  y : 0.005315  deg : -0.263789
x : 7.870002  y : 0.037800  deg : -0.213003
x : 7.932001  y : 0.117721  deg : 1.011929
x : 7.999531  y : 0.005628  deg : -0.486650
x : 7.868571  y : 0.037599  deg : -0.214838
x : 7.890112  y : 0.079211  deg : -0.035393
x : 7.868651  y : 0.036970  deg : -0.219968
x : 7.870578  y : 0.039443  deg : -0.699359
x : 7.999513  y : 0.005824  deg : -0.219781
x : 7.869282  y : 0.037400  deg : -0.216377
x : 7.869503  y : 0.037942  deg : -0.211903
x : 7.931491  y : 0.118546  deg : 1.024165
x : 7.869651  y : 0.036694  deg : -0.222095
x : 7.999589  y : 0.004990  deg : -0.042039
x : 7.870477  y : 0.037064  deg : -0.468966
x : 7.999634  y : 0.004922  deg : -0.494647
x : 7.869536  y : 0.037329  deg : -0.466927
x : 7.869796  y : 0.038463  deg : -0.707577
x : -nan  y : -nan  deg : -nan
x : 7.869026  y : 0.038078  deg : -0.460853
x : 7.869121  y : 0.038659  deg : -0.456064
x : 7.999536  y : 0.005576  deg : -0.241162
x : 7.889205  y : 0.079848  deg : -0.029574
x : 7.869575  y : 0.037922  deg : -0.462062
x : 7.870237  y : 0.037733  deg : -0.463521
x : 7.869486  y : 0.037343  deg : -0.466818
x : 7.869563  y : 0.036718  deg : -0.471907
x : 7.869278  y : 0.038006  deg : -0.461407
x : 7.880141  y : 0.065630  deg : 0.046641
x : 7.869197  y : 0.038637  deg : -0.456236
x : 7.869742  y : 0.037874  deg : -0.462429
x : 7.869139  y : 0.038046  deg : -0.461102
x : 7.870010  y : 0.035995  deg : -0.227736
x : 7.999561  y : 0.005081  deg : -0.057613
x : 7.869303  y : 0.037394  deg : -0.466423
x : 7.999552  y : 0.005400  deg : -0.256417
x : 7.870771  y : 0.037580  deg : -0.464697
x : 7.999594  y : 0.005159  deg : -0.251017
x : 7.999635  y : 0.004904  deg : -0.746459
x : 7.870812  y : 0.036373  deg : -0.474565
x : 7.869365  y : 0.037982  deg : -0.211600
x : 7.871182  y : 0.038061  deg : -0.460684
x : 7.869897  y : 0.039040  deg : -0.702808
x : 7.999523  y : 0.005714  deg : -0.229241
x : 7.869669  y : 0.037291  deg : -0.467215
x : 7.869021  y : 0.038080  deg : -0.460841
x : 7.868629  y : 0.036370  deg : -0.224849
x : 7.869803  y : 0.036652  deg : -0.222419
x : 7.869125  y : 0.038050  deg : -0.211070
x : 7.870287  y : 0.037718  deg : -0.213631
x : 7.870190  y : 0.037746  deg : -0.463417
x : 7.868743  y : 0.038159  deg : -0.210228
x : 7.868879  y : 0.038729  deg : -0.455523
x : 7.869874  y : 0.036632  deg : 0.027431
x : 7.868582  y : 0.037596  deg : -0.214863
x : 7.904857  y : 0.095970  deg : 0.501941
x : 7.999549  y : 0.005432  deg : -0.253610
x : 7.869771  y : 0.037866  deg : -0.712494
x : 7.870088  y : 0.037173  deg : -0.468122
x : 7.868243  y : 0.037692  deg : -0.464127
x : 7.999625  y : 0.005030  deg : -0.484209
x : 7.869015  y : 0.038690  deg : -0.205829
x : 7.869016  y : 0.038081  deg : -0.460831
x : 7.880994  y : 0.064518  deg : 0.036028
x : 7.870150  y : 0.035957  deg : -0.228029
x : 7.880534  y : 0.064762  deg : -0.211912
x : 7.869454  y : 0.037351  deg : -0.216750
x : 7.999455  y : 0.006186  deg : -0.216419
x : 7.868197  y : 0.037704  deg : -0.214029
x : 7.868867  y : 0.038124  deg : -0.460502
x : 7.999582  y : 0.005072  deg : -0.284922
x : 7.999473  y : 0.006002  deg : -0.231490
x : 7.881025  y : 0.063849  deg : 0.029205
x : 7.999615  y : 0.004913  deg : -0.273569
x : 7.999571  y : 0.004974  deg : -0.066527
x : 7.869554  y : 0.037928  deg : -0.212016
x : 7.868579  y : 0.037597  deg : -0.214854
x : 7.870428  y : 0.037078  deg : -0.468858
x : 7.869901  y : 0.037829  deg : -0.462780
x : 7.881396  y : 0.064958  deg : -0.209038
x : 7.868609  y : 0.038197  deg : -0.209934
x : 7.999507  y : 0.005652  deg : -0.010278
x : 7.880993  y : 0.064519  deg : -0.213964
x : 7.999508  y : 0.005636  deg : -0.261594
x : -nan  y : -nan  deg : -nan
x : 7.871263  y : 0.037440  deg : -0.465780
x : 7.999431  y : 0.006181  deg : 0.007931
x : 7.869641  y : 0.039115  deg : -0.202223
x : 7.869625  y : 0.037303  deg : -0.467120
x : -nan  y : -nan  deg : -nan
x : 7.868461  y : 0.038850  deg : -0.704586
x : 7.999532  y : 0.005617  deg : -0.237617
x : 7.871201  y : 0.037458  deg : -0.465643
x : 7.999476  y : 0.005735  deg : -0.027141
x : 7.868987  y : 0.035670  deg : -0.230485
x : 7.870010  y : 0.038401  deg : -0.458058
x : 7.999600  y : 0.005094  deg : -0.257026
x : 7.868938  y : 0.036891  deg : -0.220578
x : 7.869150  y : 0.036832  deg : -0.221030
x : 7.881366  y : 0.065630  deg : -0.452104
x : 7.999549  y : 0.005432  deg : -0.003623
x : 7.870097  y : 0.037773  deg : -0.713211
x : 7.880639  y : 0.066024  deg : -0.448773
x : 7.999487  y : 0.005627  deg : -0.035650
x : 7.999516  y : 0.005795  deg : -0.222232
x : 7.869031  y : 0.037470  deg : -0.465833
x : 7.999590  y : 0.004976  deg : -0.293342
x : 7.868870  y : 0.038123  deg : -0.460508
x : 7.999541  y : 0.005515  deg : -0.246457
x : 7.999561  y : 0.005301  deg : -0.264937
x : 7.869542  y : 0.037931  deg : -0.461990
x : 7.999502  y : 0.005940  deg : -0.209780
x : 7.870432  y : 0.037677  deg : -0.463950
x : 7.869781  y : 0.037863  deg : -0.462516
x : 7.869786  y : 0.037258  deg : -0.217470
x : 7.888789  y : 0.080140  deg : -0.026905
x : 7.868835  y : 0.036919  deg : -0.470359
x : -nan  y : -nan  deg : -nan
x : 7.868723  y : 0.036950  deg : -0.220120
x : 7.904505  y : 0.098733  deg : -0.205204
x : 7.999494  y : 0.005788  deg : 0.000878
x : 7.999520  y : 0.005744  deg : -0.226683
x : 7.868267  y : 0.038295  deg : -0.459181
x : 7.880181  y : 0.064292  deg : 0.032933
x : 7.890181  y : 0.079162  deg : -0.035836
x : 7.870330  y : 0.038309  deg : -0.458773
x : 7.868857  y : 0.036913  deg : -0.220407
x : 7.999529  y : 0.005650  deg : -0.234741
x : 7.931317  y : 0.118827  deg : 1.028321
x : 7.868671  y : 0.037571  deg : -0.465054
x : 7.881295  y : 0.063708  deg : 0.028013
x : 7.904325  y : 0.097291  deg : 0.270306
x : 7.999549  y : 0.005434  deg : -0.253411
x : 7.999514  y : 0.005570  deg : -0.017047
x : 7.869359  y : 0.037983  deg : -0.211585
x : 7.869034  y : 0.037469  deg : -0.465840
x : 7.868387  y : 0.037043  deg : -0.469406
x : 7.870447  y : 0.037073  deg : -0.218900
x : 7.879850  y : 0.065786  deg : -0.202044
x : 7.869613  y : 0.036103  deg : -0.226907
x : 7.869143  y : 0.040484  deg : -1.440947
x : 7.868796  y : 0.038144  deg : -0.460346
x : 7.869869  y : 0.037838  deg : -0.212709
x : 7.869678  y : 0.039104  deg : -0.702309
x : 7.880144  y : 0.064969  deg : -0.210171
x : 7.869189  y : 0.037426  deg : -0.216176
x : 7.931301  y : 0.117801  deg : 1.249867
x : 7.869759  y : 0.037266  deg : -0.467410
x : 7.868592  y : 0.037594  deg : -0.464882
x : 7.999501  y : 0.005706  deg : -0.255861
x : 7.999496  y : 0.005762  deg : -0.001220
x : 7.870167  y : 0.036551  deg : -0.223193
x : 7.999523  y : 0.005720  deg : -0.228704
x : -nan  y : -nan  deg : -nan
x : 7.880591  y : 0.064732  deg : -0.212169
x : 7.870320  y : 0.036509  deg : -0.473518
x : 7.868787  y : 0.036932  deg : -0.470258
x : 7.868685  y : 0.035751  deg : -0.229865
x : 7.869598  y : 0.037311  deg : -0.467061
x : 7.870493  y : 0.037060  deg : -0.218999
x : 7.868944  y : 0.036285  deg : -0.225508
x : 7.870193  y : 0.038953  deg : -0.453481
x : 7.869299  y : 0.038607  deg : -0.456465
x : 7.879874  y : 0.065773  deg : -0.202152
x : 7.869937  y : 0.039028  deg : -0.202897
x : 7.999537  y : 0.005559  deg : -0.242580
x : -nan  y : -nan  deg : -nan
x : 7.869208  y : 0.037421  deg : -0.466217
x : -nan  y : -nan  deg : -nan
x : 7.869042  y : 0.037467  deg : -0.215857
x : 7.999570  y : 0.005205  deg : -0.273313
x : 7.870256  y : 0.037126  deg : -0.218487
x : 7.869134  y : 0.037441  deg : -0.216058
x : 7.869667  y : 0.039108  deg : -0.452282
x : 7.869514  y : 0.037335  deg : -0.216879
x : 7.868329  y : 0.037667  deg : -0.464315
x : 7.870057  y : 0.038388  deg : -0.708163
x : 7.869043  y : 0.038682  deg : -0.455890
x : 7.869370  y : 0.036771  deg : -0.221498
x : 7.999569  y : 0.005442  deg : -0.225211
x : 7.870138  y : 0.037761  deg : -0.463302
x : 7.868903  y : 0.036296  deg : -0.225422
x : 7.999488  y : 0.005848  deg : -0.244191
x : 7.869548  y : 0.036722  deg : -0.221877
x : 7.870194  y : 0.035945  deg : -0.228120
